tier,group,domain,skill_path,description
solo,product,product-manager,,"Product strategy, vision, and roadmap ownership from market discovery through launch and scaling. Covers product discovery, competitive analysis, roadmap planning, metrics definition, feature prioritization, and user feedback. Use this when owning a product end-to-end, making strategic tradeoffs, aligning stakeholders around vision, or steering product direction through market changes."
solo,product,product-operations,skills/faion-knowledge/knowledge/solo/product/product-operations/SKILL.md,"Day-to-day product operations including prioritization, backlog management, analytics, and feedback loops. Covers RICE and MoSCoW prioritization, feature backlog grooming, product metrics, user feedback collection, technical debt management, and lifecycle analysis. Use this when maintaining product health, keeping backlog organized, driving data-driven decisions, managing stakeholder feedback, or scaling product processes."
solo,product,product-planning,skills/faion-knowledge/knowledge/solo/product/product-planning/SKILL.md,"Product planning from ideation through launch covering MVP scoping, roadmaps, discovery, and user story mapping. Covers minimum product frameworks, outcome-based roadmaps, OKR setting, user story mapping, release planning, launch strategy, and competitive positioning. Use this when defining a new product, planning feature releases, discovering user needs, or planning major launches."
solo,research,market-researcher,,"Market research and competitive analysis to understand industry dynamics, customer segments, and market opportunities. Covers market sizing, competitive landscaping, trend analysis, customer segmentation, and market opportunity assessment. Use this when evaluating new markets, understanding competitive threats, sizing addressable markets, identifying underserved segments, or validating market assumptions."
solo,research,researcher,,"Research methodologies and user insights generation through qualitative and quantitative research methods. Covers user interviews, surveys, ethnographic research, data analysis, and insight synthesis. Use this when you need deep user understanding, validating product hypotheses, generating customer insights, discovering pain points, or building user empathy."
solo,sdd,sdd,skills/faion-knowledge/knowledge/solo/sdd/sdd/SKILL.md,"Specification-Driven Development orchestrating the full workflow from specification through execution. Covers constitution and standards, roadmapping, specifications, design documents, implementation planning, task creation, quality gates, and reflexion learning. Use this when establishing development standards, planning major features, ensuring quality across implementation, or building team knowledge systems."
solo,sdd,sdd-planning,skills/faion-knowledge/knowledge/solo/sdd/sdd-planning/SKILL.md,"SDD planning phase creating specifications, design documents, implementation plans, and task files. Covers writing specifications and requirements, architectural design, breaking features into tasks, applying the 100k token rule, creating templates, and managing workflows. Use this when planning features before implementation, documenting technical approach, breaking work into manageable tasks, or establishing planning standards."
solo,ux,accessibility-specialist,,"Accessibility compliance and inclusive design ensuring products work for users with disabilities. Covers WCAG standards, assistive technology compatibility, accessible component design, testing, and remediation. Use this when building accessible products, ensuring WCAG AA or AAA compliance, testing with real users with disabilities, or auditing existing products for accessibility issues."
solo,ux,ui-designer,skills/faion-knowledge/knowledge/solo/ux/ui-designer/SKILL.md,"UI design, wireframing, prototyping, design systems, and design tokens for web, mobile, spatial, and voice interfaces. Covers wireframing and prototyping, design tokens and theming, component libraries, AI-enhanced design workflows, voice UI design, and spatial computing interfaces. Use this when designing new features or products, building design systems, creating interactive prototypes, or implementing design tokens for scalable theming."
solo,ux,user-researcher,,"User research and discovery through interviews, usability testing, and behavioral studies to understand user needs and validate designs. Covers research planning, interview techniques, usability testing, observation methods, and insight synthesis. Use this when validating design assumptions, discovering user pain points, testing prototypes with real users, or generating design direction from user research."
solo,ux,ux-researcher,,"UX research focusing on user experience, satisfaction, and behavioral patterns across the full product lifecycle. Covers discovery research, usability testing, analytics, A/B testing, and experience optimization. Use this when improving product experience, understanding why users leave, optimizing key user flows, or tracking experience metrics over time."
solo,ux,ux-ui-designer,,"Combined UX and UI design covering user research, information architecture, interaction design, and visual design. Bridges user research insights through wireframes and prototypes to high-fidelity visual design and design systems. Use this when designing products end-to-end, when UX and UI are tightly integrated in your process, or when one person needs to own both research and visual design."
